job_id,title,company,role_category,source,skill,skill_category
pythonorg_research_advocate_and_support_engineer,Research Advocate and Support Engineer,"New Research Advocate and Support Engineer Redivis, Inc.",Other,Python.org Scrape,R,Programming
pythonorg_senior_python_core_engineer,Senior Python Core Engineer,New Senior Python Core Engineer Chime,Other,Python.org Scrape,Python,Programming
pythonorg_senior_python_core_engineer,Senior Python Core Engineer,New Senior Python Core Engineer Chime,Other,Python.org Scrape,R,Programming
pythonorg_lead_python_backend_engineer,Lead Python Backend Engineer,New Lead Python Backend Engineer Reef Technologies,Other,Python.org Scrape,Python,Programming
pythonorg_lead_python_backend_engineer,Lead Python Backend Engineer,New Lead Python Backend Engineer Reef Technologies,Other,Python.org Scrape,R,Programming
pythonorg_senior_python_backend_engineer,Senior Python Backend Engineer,New Senior Python Backend Engineer Reef Technologies,Other,Python.org Scrape,Python,Programming
pythonorg_senior_python_backend_engineer,Senior Python Backend Engineer,New Senior Python Backend Engineer Reef Technologies,Other,Python.org Scrape,R,Programming
pythonorg_senior_python_engineer,Senior Python Engineer,New Senior Python Engineer Fulfil,Other,Python.org Scrape,Python,Programming
pythonorg_senior_python_engineer,Senior Python Engineer,New Senior Python Engineer Fulfil,Other,Python.org Scrape,R,Programming
pythonorg_python_developer,Python Developer,New Python Developer Ktek Resourcing,Other,Python.org Scrape,Python,Programming
pythonorg_python_developer,Python Developer,New Python Developer Ktek Resourcing,Other,Python.org Scrape,R,Programming
pythonorg_software_engineer_-_python,Software Engineer - Python,Software Engineer - Python RouteOne,Other,Python.org Scrape,Python,Programming
pythonorg_software_engineer_-_python,Software Engineer - Python,Software Engineer - Python RouteOne,Other,Python.org Scrape,R,Programming
pythonorg_python_research_software_consultant_(competitive_p,"Python Research Software Consultant (Competitive Pay, Short-Term, Remote)","Python Research Software Consultant (Competitive Pay, Short-Term, Remote) Texas Southern University",Other,Python.org Scrape,Python,Programming
pythonorg_python_research_software_consultant_(competitive_p,"Python Research Software Consultant (Competitive Pay, Short-Term, Remote)","Python Research Software Consultant (Competitive Pay, Short-Term, Remote) Texas Southern University",Other,Python.org Scrape,R,Programming
pythonorg_genai_&_python_specialist,GenAI & Python Specialist,GenAI & Python Specialist Deloitte,Other,Python.org Scrape,Python,Programming
pythonorg_machine_learning_engineer,Machine Learning Engineer,Machine Learning Engineer Rebel Space Technologies,Machine Learning,Python.org Scrape,R,Programming
pythonorg_machine_learning_engineer,Machine Learning Engineer,Machine Learning Engineer Rebel Space Technologies,Machine Learning,Python.org Scrape,Machine Learning,Machine Learning
pythonorg_software_engineer_(python/data),Software Engineer (Python/Data),Software Engineer (Python/Data) Nava PBC,Other,Python.org Scrape,Python,Programming
pythonorg_software_engineer_(python/data),Software Engineer (Python/Data),Software Engineer (Python/Data) Nava PBC,Other,Python.org Scrape,R,Programming
"pythonorg_devops_engineer-fully_remote-us,_canada,_europe_ba","DevOps Engineer-FULLY REMOTE-US, CANADA, EUROPE based only","DevOps Engineer-FULLY REMOTE-US, CANADA, EUROPE based only ActivePrime, Inc.",Other,Python.org Scrape,R,Programming
pythonorg_senior_python_developer_-_full_stack,Senior Python Developer - full stack,Senior Python Developer - full stack Trusted Carrier Logistik GmbH,Other,Python.org Scrape,Python,Programming
